ID;dataset;architecture;seed;steps;
0;MNIST_14240;Conv2d(1, 6, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(6, 16, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(16, 67, 3, 1, 1)-ReLU-Flatten-Linear(3283, 10)-LogSoftmax(1);85370663;698;
1;MNIST_10048;Conv2d(1, 8, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(8, 19, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(19, 81, 3, 1, 1)-ReLU-Flatten-Linear(3969, 10)-LogSoftmax(1);597236641;696;
2;MNIST_21440;Conv2d(1, 4, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(4, 23, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(23, 152, 3, 1, 1)-ReLU-Flatten-Linear(7448, 10)-LogSoftmax(1);455413943;572;
3;MNIST_16000;Conv2d(1, 6, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(6, 8, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(8, 82, 3, 1, 1)-ReLU-Flatten-Linear(4018, 10)-LogSoftmax(1);666364192;585;
4;MNIST_20480;Conv2d(1, 5, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(5, 13, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(13, 135, 3, 1, 1)-ReLU-Flatten-Linear(6615, 10)-LogSoftmax(1);738646438;498;
5;MNIST_25152;Conv2d(1, 4, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(4, 20, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(20, 198, 3, 1, 1)-ReLU-Flatten-Linear(9702, 10)-LogSoftmax(1);671251256;549;
6;MNIST_12160;Conv2d(1, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 19, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(19, 126, 3, 1, 1)-ReLU-Flatten-Linear(6174, 10)-LogSoftmax(1);583709876;987;
7;MNIST_14048;Conv2d(1, 8, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(8, 17, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(17, 191, 3, 1, 1)-ReLU-Flatten-Linear(9359, 10)-LogSoftmax(1);58254785;946;
8;MNIST_28160;Conv2d(1, 9, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(9, 14, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(14, 205, 3, 1, 1)-ReLU-Flatten-Linear(10045, 10)-LogSoftmax(1);200533670;753;
9;MNIST_26592;Conv2d(1, 9, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(9, 19, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(19, 198, 3, 1, 1)-ReLU-Flatten-Linear(9702, 10)-LogSoftmax(1);975255077;994;
10;MNIST_17056;Conv2d(1, 4, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(4, 6, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(6, 198, 3, 1, 1)-ReLU-Flatten-Linear(9702, 10)-LogSoftmax(1);736032395;703;
11;MNIST_6880;Conv2d(1, 5, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(5, 21, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(21, 72, 3, 1, 1)-ReLU-Flatten-Linear(3528, 10)-LogSoftmax(1);897524533;811;
12;MNIST_13568;Conv2d(1, 6, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(6, 20, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(20, 59, 3, 1, 1)-ReLU-Flatten-Linear(2891, 10)-LogSoftmax(1);73411480;622;
13;MNIST_20128;Conv2d(1, 2, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(2, 21, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(21, 231, 3, 1, 1)-ReLU-Flatten-Linear(11319, 10)-LogSoftmax(1);747370677;745;
14;MNIST_16320;Conv2d(1, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 21, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(21, 128, 3, 1, 1)-ReLU-Flatten-Linear(6272, 10)-LogSoftmax(1);590418655;805;
15;MNIST_10432;Conv2d(1, 6, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(6, 23, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(23, 169, 3, 1, 1)-ReLU-Flatten-Linear(8281, 10)-LogSoftmax(1);759601910;891;
16;MNIST_21440;Conv2d(1, 6, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(6, 16, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(16, 203, 3, 1, 1)-ReLU-Flatten-Linear(9947, 10)-LogSoftmax(1);279035288;328;
17;MNIST_25376;Conv2d(1, 6, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(6, 11, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(11, 200, 3, 1, 1)-ReLU-Flatten-Linear(9800, 10)-LogSoftmax(1);390813115;866;
18;MNIST_10368;Conv2d(1, 8, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(8, 15, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(15, 76, 3, 1, 1)-ReLU-Flatten-Linear(3724, 10)-LogSoftmax(1);417406150;885;
19;MNIST_18624;Conv2d(1, 6, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(6, 15, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(15, 163, 3, 1, 1)-ReLU-Flatten-Linear(7987, 10)-LogSoftmax(1);676716673;630;
20;MNIST_28384;Conv2d(1, 8, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(8, 16, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(16, 61, 3, 1, 1)-ReLU-Flatten-Linear(2989, 10)-LogSoftmax(1);483634587;495;
21;MNIST_24480;Conv2d(1, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 5, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(5, 145, 3, 1, 1)-ReLU-Flatten-Linear(7105, 10)-LogSoftmax(1);587269322;614;
22;MNIST_16736;Conv2d(1, 2, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(2, 12, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(12, 137, 3, 1, 1)-ReLU-Flatten-Linear(6713, 10)-LogSoftmax(1);896937394;463;
23;MNIST_13568;Conv2d(1, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 9, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(9, 220, 3, 1, 1)-ReLU-Flatten-Linear(10780, 10)-LogSoftmax(1);482762874;986;
24;MNIST_11552;Conv2d(1, 9, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(9, 12, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(12, 168, 3, 1, 1)-ReLU-Flatten-Linear(8232, 10)-LogSoftmax(1);62829004;561;
25;MNIST_10560;Conv2d(1, 6, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(6, 12, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(12, 170, 3, 1, 1)-ReLU-Flatten-Linear(8330, 10)-LogSoftmax(1);432423572;882;
26;MNIST_9728;Conv2d(1, 6, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(6, 14, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(14, 110, 3, 1, 1)-ReLU-Flatten-Linear(5390, 10)-LogSoftmax(1);90250538;933;
27;MNIST_13536;Conv2d(1, 3, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(3, 13, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(13, 209, 3, 1, 1)-ReLU-Flatten-Linear(10241, 10)-LogSoftmax(1);700199045;773;
28;MNIST_7424;Conv2d(1, 8, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(8, 13, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(13, 141, 3, 1, 1)-ReLU-Flatten-Linear(6909, 10)-LogSoftmax(1);922181636;891;
29;MNIST_23136;Conv2d(1, 6, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(6, 23, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(23, 148, 3, 1, 1)-ReLU-Flatten-Linear(7252, 10)-LogSoftmax(1);88633046;927;
30;MNIST_7008;Conv2d(1, 5, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(5, 9, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(9, 61, 3, 1, 1)-ReLU-Flatten-Linear(2989, 10)-LogSoftmax(1);216976841;869;
31;MNIST_14848;Conv2d(1, 5, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(5, 19, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(19, 130, 3, 1, 1)-ReLU-Flatten-Linear(6370, 10)-LogSoftmax(1);650853430;605;
32;MNIST_6368;Conv2d(1, 4, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(4, 21, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(21, 145, 3, 1, 1)-ReLU-Flatten-Linear(7105, 10)-LogSoftmax(1);502921667;960;
33;MNIST_9376;Conv2d(1, 6, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(6, 10, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(10, 77, 3, 1, 1)-ReLU-Flatten-Linear(3773, 10)-LogSoftmax(1);850545979;309;
34;MNIST_15328;Conv2d(1, 8, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(8, 12, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(12, 235, 3, 1, 1)-ReLU-Flatten-Linear(11515, 10)-LogSoftmax(1);283063259;447;
35;MNIST_20960;Conv2d(1, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 10, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(10, 50, 3, 1, 1)-ReLU-Flatten-Linear(2450, 10)-LogSoftmax(1);632368576;862;
36;MNIST_19488;Conv2d(1, 3, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(3, 17, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(17, 184, 3, 1, 1)-ReLU-Flatten-Linear(9016, 10)-LogSoftmax(1);27639030;643;
37;MNIST_12128;Conv2d(1, 2, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(2, 14, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(14, 79, 3, 1, 1)-ReLU-Flatten-Linear(3871, 10)-LogSoftmax(1);923343467;374;
38;MNIST_24960;Conv2d(1, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 19, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(19, 81, 3, 1, 1)-ReLU-Flatten-Linear(3969, 10)-LogSoftmax(1);665581259;493;
39;MNIST_12992;Conv2d(1, 6, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(6, 8, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(8, 114, 3, 1, 1)-ReLU-Flatten-Linear(5586, 10)-LogSoftmax(1);56307477;761;
40;MNIST_10592;Conv2d(1, 6, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(6, 11, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(11, 208, 3, 1, 1)-ReLU-Flatten-Linear(10192, 10)-LogSoftmax(1);942298166;582;
41;MNIST_8576;Conv2d(1, 8, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(8, 12, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(12, 166, 3, 1, 1)-ReLU-Flatten-Linear(8134, 10)-LogSoftmax(1);313386172;719;
42;MNIST_25984;Conv2d(1, 3, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(3, 18, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(18, 140, 3, 1, 1)-ReLU-Flatten-Linear(6860, 10)-LogSoftmax(1);840627960;350;
43;MNIST_9856;Conv2d(1, 5, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(5, 8, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(8, 132, 3, 1, 1)-ReLU-Flatten-Linear(6468, 10)-LogSoftmax(1);222275973;486;
44;MNIST_26560;Conv2d(1, 6, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(6, 9, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(9, 99, 3, 1, 1)-ReLU-Flatten-Linear(4851, 10)-LogSoftmax(1);972703876;803;
45;MNIST_16576;Conv2d(1, 2, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(2, 8, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(8, 61, 3, 1, 1)-ReLU-Flatten-Linear(2989, 10)-LogSoftmax(1);109829453;990;
46;MNIST_21344;Conv2d(1, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 22, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(22, 224, 3, 1, 1)-ReLU-Flatten-Linear(10976, 10)-LogSoftmax(1);383971483;436;
47;MNIST_13888;Conv2d(1, 5, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(5, 15, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(15, 105, 3, 1, 1)-ReLU-Flatten-Linear(5145, 10)-LogSoftmax(1);643171914;832;
48;MNIST_9792;Conv2d(1, 9, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(9, 19, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(19, 132, 3, 1, 1)-ReLU-Flatten-Linear(6468, 10)-LogSoftmax(1);670675758;437;
49;MNIST_11712;Conv2d(1, 4, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(4, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 231, 3, 1, 1)-ReLU-Flatten-Linear(11319, 10)-LogSoftmax(1);718247435;662;
50;MNIST_12768;Conv2d(1, 5, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(5, 19, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(19, 94, 3, 1, 1)-ReLU-Flatten-Linear(4606, 10)-LogSoftmax(1);870508044;842;
