ID;dataset;architecture;seed;steps;
0;MNIST_14256;Conv2d(1, 6, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(6, 16, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(16, 67, 3, 1, 1)-ReLU-Flatten-Linear(3283, 10)-LogSoftmax(1);85370663;698;
1;MNIST_10059;Conv2d(1, 8, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(8, 19, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(19, 81, 3, 1, 1)-ReLU-Flatten-Linear(3969, 10)-LogSoftmax(1);597236641;696;
2;MNIST_21445;Conv2d(1, 4, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(4, 23, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(23, 152, 3, 1, 1)-ReLU-Flatten-Linear(7448, 10)-LogSoftmax(1);455413943;572;
3;MNIST_16015;Conv2d(1, 6, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(6, 8, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(8, 82, 3, 1, 1)-ReLU-Flatten-Linear(4018, 10)-LogSoftmax(1);666364192;585;
4;MNIST_20497;Conv2d(1, 5, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(5, 13, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(13, 135, 3, 1, 1)-ReLU-Flatten-Linear(6615, 10)-LogSoftmax(1);738646438;498;
5;MNIST_25179;Conv2d(1, 4, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(4, 20, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(20, 198, 3, 1, 1)-ReLU-Flatten-Linear(9702, 10)-LogSoftmax(1);671251256;549;
6;MNIST_12174;Conv2d(1, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 19, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(19, 126, 3, 1, 1)-ReLU-Flatten-Linear(6174, 10)-LogSoftmax(1);583709876;987;
7;MNIST_14071;Conv2d(1, 8, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(8, 17, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(17, 191, 3, 1, 1)-ReLU-Flatten-Linear(9359, 10)-LogSoftmax(1);58254785;946;
8;MNIST_28162;Conv2d(1, 9, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(9, 14, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(14, 205, 3, 1, 1)-ReLU-Flatten-Linear(10045, 10)-LogSoftmax(1);200533670;753;
9;MNIST_26592;Conv2d(1, 9, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(9, 19, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(19, 198, 3, 1, 1)-ReLU-Flatten-Linear(9702, 10)-LogSoftmax(1);975255077;994;
10;MNIST_17081;Conv2d(1, 4, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(4, 6, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(6, 198, 3, 1, 1)-ReLU-Flatten-Linear(9702, 10)-LogSoftmax(1);736032395;703;
11;MNIST_6883;Conv2d(1, 5, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(5, 21, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(21, 72, 3, 1, 1)-ReLU-Flatten-Linear(3528, 10)-LogSoftmax(1);897524533;811;
