ID,fcn_name,param1,param2,param3,param4,param5,param6,param7,param8
0,sigmoid,-0.8970863808133362,0.942264764279305,0,0,0,0,0,0
0,sigmoid,0.006039343449238954,0.45863543167723875,0,0,0,0,0,0
0,linear,0.6026464999218242,-0.47695282446560383,0,0,0,0,0,0
0,linear,-0.5891206774873237,-0.99923834926742,0,0,0,0,0,0
0,linear,-0.21511495486374899,0.5529383577052522,0,0,0,0,0,0
0,linear,0.06387230943202282,-0.4993647613567369,0,0,0,0,0,0
0,polynomial2D,-0.30583701571314936,0.09566068136389583,0.6631924857849134,0,0,0,0,0
0,polynomial2D,0.8117142315603438,0.07865655166937513,-0.5873253617984981,0,0,0,0,0
0,polynomial2D,0.34262805859563716,0.0490851155933032,0.5833491022769044,0,0,0,0,0
0,polynomial3D,-0.46208561030069784,-0.25813967019211437,-0.9882018805229074,-0.46212164657541766,0,0,0,0
0,polynomial3D,-0.9238307451652865,0.2412315482660745,-0.03656293720163584,-0.608260423441354,0,0,0,0
0,polynomial7D,0.7604347686313373,-0.7846992292062189,-0.3640565391628314,-0.5360407247688088,-0.22898965271967509,0.14567005563023017,-0.2994532078069587,0.6452156795203488
0,exponential,0.9541104582058619,0,0,0,0,0,0,0
0,exponential,0.9774971659661829,0,0,0,0,0,0,0
0,logarithmic,0.5394757689866294,0,0,0,0,0,0,0
0,logarithmic,0.10853446395057786,0,0,0,0,0,0,0
1,sigmoid,0.7315364701916895,0.04519340322144472,0,0,0,0,0,0
1,sigmoid,-0.8745027783199015,0.590428333909726,0,0,0,0,0,0
1,linear,0.5716327426147285,-0.9180812756966135,0,0,0,0,0,0
1,linear,-0.23886990021356191,-0.20434041862889418,0,0,0,0,0,0
1,linear,0.9660112736510016,0.4623099389691485,0,0,0,0,0,0
1,linear,0.8484210661071376,-0.3442836616193361,0,0,0,0,0,0
1,polynomial2D,0.03425884732109119,-0.9583208522179851,-0.9952808152030665,0,0,0,0,0
1,polynomial2D,0.7348522279932661,-0.4711509454888596,-0.8771269579231218,0,0,0,0,0
1,polynomial2D,0.2247122954180052,0.02754341138652938,0.37931084040708307,0,0,0,0,0
1,polynomial3D,-0.3122678263808305,0.6190649578987661,0.4428893232016262,-0.6932645877691916,0,0,0,0
1,polynomial3D,0.20780306437027973,0.6580357624731095,0.17605032742496518,-0.9436469522088624,0,0,0,0
1,polynomial7D,0.35829336420626356,-0.04515045508025595,-0.3445450244664423,-0.9896886598171473,-0.6223210827975056,-0.3855473426630771,-0.9999025117278513,-0.8702478078906357
1,exponential,-0.2642302971713386,0,0,0,0,0,0,0
1,exponential,0.747072929189494,0,0,0,0,0,0,0
1,logarithmic,0.45690062706022005,0,0,0,0,0,0,0
1,logarithmic,-0.9951776432148813,0,0,0,0,0,0,0
2,sigmoid,0.16880891678618326,0.17083667293158067,0,0,0,0,0,0
2,sigmoid,0.08950703029927887,-0.9624054874230601,0,0,0,0,0,0
2,linear,-0.513517243245603,-0.4097458440051389,0,0,0,0,0,0
2,linear,0.311395135370347,0.8108553921241317,0,0,0,0,0,0
2,linear,0.4871062959815986,-0.48151169352505363,0,0,0,0,0,0
2,linear,-0.8737735396328021,-0.7970408974696033,0,0,0,0,0,0
2,polynomial2D,0.6940725550110325,0.6152472129773072,-0.27311362644405857,0,0,0,0,0
2,polynomial2D,0.7937266969845118,-0.7518217720334448,-0.6944326093793571,0,0,0,0,0
2,polynomial2D,0.6756422190067253,0.4843844241054349,-0.4848484850393291,0,0,0,0,0
2,polynomial3D,0.5287660432182146,-0.14410151504231528,0.17703751301434933,0.6263538894085308,0,0,0,0
2,polynomial3D,0.8634500609607207,0.2021507234128006,-0.2766259136401512,-0.9149297756308183,0,0,0,0
2,polynomial7D,0.947400243083115,-0.7349171548301086,0.36614443669702346,-0.5709646587953743,-0.7514379647050471,0.9268243467043824,-0.1229805293035302,0.1011661962231627
2,exponential,0.8179629718968253,0,0,0,0,0,0,0
2,exponential,0.7511820189828331,0,0,0,0,0,0,0
2,logarithmic,0.051951452650818686,0,0,0,0,0,0,0
2,logarithmic,-0.13715434576489116,0,0,0,0,0,0,0
3,sigmoid,-0.2371514609063443,0.6688565958278772,0,0,0,0,0,0
3,sigmoid,0.8588102069155774,0.8704750357668991,0,0,0,0,0,0
3,linear,-0.20785003944410874,-0.2888422415569818,0,0,0,0,0,0
3,linear,0.6009964178412412,-0.3222136739331445,0,0,0,0,0,0
3,linear,-0.9313778133187143,-0.8485520264440551,0,0,0,0,0,0
3,linear,-0.07302194598912126,0.7744238851543228,0,0,0,0,0,0
3,polynomial2D,0.9174579747585145,-0.0345754293834315,0.880763033865632,0,0,0,0,0
3,polynomial2D,-0.24306917104150405,0.031718979838865735,-0.6223704346400842,0,0,0,0,0
3,polynomial2D,0.14196821659049808,-0.45237311646262013,0.2210266909496561,0,0,0,0,0
3,polynomial3D,-0.4229386001629982,-0.30327306458561076,0.7636499316981067,0.107076128682013,0,0,0,0
