ID,start,sticky
0,34,0
1,5,0
2,16,0
3,39,0
4,23,0
5,23,0
6,0,0
7,9,0
8,26,0
9,39,0
10,19,0
11,13,0
12,13,0
13,50,0
14,25,0
15,1,0
16,32,0
17,14,0
18,17,0
19,31,0
20,26,0
21,26,0
22,6,0
23,13,0
24,21,0
25,15,0
26,24,0
27,18,0
28,14,0
29,28,0
30,11,0
31,16,0
32,4,0
33,25,0
34,41,0
35,31,0
36,10,0
37,14,0
38,7,0
39,14,0
40,36,0
41,7,0
42,11,0
43,7,0
44,19,0
45,24,0
46,28,0
47,3,0
48,10,0
49,32,0
50,6,0
51,18,0
52,4,0
53,21,0
54,19,0
55,21,0
56,32,0
57,1,0
58,19,0
59,20,0
60,34,0
61,2,0
62,18,0
63,12,0
64,3,0
65,13,0
66,21,0
67,22,0
68,0,0
69,25,0
70,9,0
71,10,0
72,5,0
73,8,0
74,13,0
75,30,0
76,8,0
77,6,0
78,28,0
79,2,0
80,14,0
81,11,0
82,18,0
83,27,0
84,11,0
85,31,0
86,47,0
87,22,0
88,30,0
89,38,0
90,1,0
91,51,0
92,5,0
93,2,0
94,13,0
95,24,0
96,4,0
97,24,0
98,8,0
99,7,0
