ID,start,sticky
0,0,-0.07
1,0,-0.12
2,0,0.04
3,0,0.06
4,0,0.06
5,0,0.26
6,0,-0.19
7,0,0.06
8,0,0.17
9,0,0.09
10,0,0.09
11,0,-0.07
12,0,0.09
13,0,0.07
14,0,-0.14
15,0,0.13
16,0,-0.29
17,0,0.01
18,0,-0.24
19,0,0.09
20,0,0.0
21,0,-0.2
22,0,-0.1
23,0,-0.02
24,0,-0.14
25,0,-0.14
26,0,0.22
27,0,-0.16
28,0,-0.05
29,0,0.2
30,0,-0.07
31,0,-0.13
32,0,0.07
33,0,0.03
34,0,0.05
35,0,-0.0
36,0,0.08
37,0,-0.11
38,0,0.12
39,0,0.21
40,0,0.01
41,0,0.09
42,0,-0.0
43,0,-0.06
44,0,-0.07
45,0,0.12
46,0,0.25
47,0,0.2
48,0,0.14
49,0,-0.26
50,0,-0.08
51,0,-0.2
52,0,0.01
53,0,0.16
54,0,0.03
55,0,-0.1
56,0,-0.02
57,0,0.26
58,0,0.0
59,0,-0.0
60,0,0.01
61,0,0.03
62,0,0.23
63,0,-0.09
64,0,-0.01
65,0,-0.28
66,0,0.09
67,0,-0.03
68,0,0.2
69,0,-0.15
70,0,0.04
71,0,-0.15
72,0,0.17
73,0,0.03
74,0,-0.03
75,0,0.08
76,0,-0.23
77,0,0.22
78,0,0.25
79,0,0.03
80,0,-0.3
81,0,-0.03
82,0,0.07
83,0,0.12
84,0,0.12
85,0,-0.1
86,0,0.16
87,0,-0.06
88,0,0.17
89,0,-0.49
90,0,-0.07
91,0,-0.16
92,0,0.11
93,0,0.08
94,0,-0.35
95,0,0.12
96,0,-0.3
97,0,-0.11
98,0,-0.02
99,0,0.03
