ID,start,sticky
0,34,-0.07
1,5,-0.12
2,16,0.04
3,39,0.06
4,23,0.06
5,23,0.26
6,0,-0.19
7,9,0.06
8,26,0.17
9,39,0.09
10,19,0.09
11,13,-0.07
12,13,0.09
13,50,0.07
14,25,-0.14
15,1,0.13
16,32,-0.29
17,14,0.01
18,17,-0.24
19,31,0.09
20,26,0.0
21,26,-0.2
22,6,-0.1
23,13,-0.02
24,21,-0.14
25,15,-0.14
26,24,0.22
27,18,-0.16
28,14,-0.05
29,28,0.2
30,11,-0.07
31,16,-0.13
32,4,0.07
33,25,0.03
34,41,0.05
35,31,-0.0
36,10,0.08
37,14,-0.11
38,7,0.12
39,14,0.21
40,36,0.01
41,7,0.09
42,11,-0.0
43,7,-0.06
44,19,-0.07
45,24,0.12
46,28,0.25
47,3,0.2
48,10,0.14
49,32,-0.26
50,6,-0.08
51,18,-0.2
52,4,0.01
53,21,0.16
54,19,0.03
55,21,-0.1
56,32,-0.02
57,1,0.26
58,19,0.0
59,20,-0.0
60,34,0.01
61,2,0.03
62,18,0.23
63,12,-0.09
64,3,-0.01
65,13,-0.28
66,21,0.09
67,22,-0.03
68,0,0.2
69,25,-0.15
70,9,0.04
71,10,-0.15
72,5,0.17
73,8,0.03
74,13,-0.03
75,30,0.08
76,8,-0.23
77,6,0.22
78,28,0.25
79,2,0.03
80,14,-0.3
81,11,-0.03
82,18,0.07
83,27,0.12
84,11,0.12
85,31,-0.1
86,47,0.16
87,22,-0.06
88,30,0.17
89,38,-0.49
90,1,-0.07
91,51,-0.16
92,5,0.11
93,2,0.08
94,13,-0.35
95,24,0.12
96,4,-0.3
97,24,-0.11
98,8,-0.02
99,7,0.03
