ID,domain,instance
0,SAT,0
1,SAT,1
2,SAT,2
3,SAT,3
4,SAT,4
5,SAT,5
6,SAT,6
7,SAT,7
8,SAT,8
9,SAT,9
10,SAT,10
11,SAT,11
12,BinPacking,0
13,BinPacking,1
14,BinPacking,2
15,BinPacking,3
16,BinPacking,4
17,BinPacking,5
18,BinPacking,6
19,BinPacking,7
20,BinPacking,8
21,BinPacking,9
22,BinPacking,10
23,BinPacking,11
24,FlowShop,0
25,FlowShop,1
26,FlowShop,2
27,FlowShop,3
28,FlowShop,4
29,FlowShop,5
30,FlowShop,6
31,FlowShop,7
32,FlowShop,8
33,FlowShop,9
34,FlowShop,10
35,FlowShop,11
36,PersonnelScheduling,0
37,PersonnelScheduling,1
38,PersonnelScheduling,2
39,PersonnelScheduling,3
40,PersonnelScheduling,4
41,PersonnelScheduling,5
42,PersonnelScheduling,6
43,PersonnelScheduling,7
44,PersonnelScheduling,8
45,PersonnelScheduling,9
46,PersonnelScheduling,10
47,PersonnelScheduling,11
48,TSP,0
49,TSP,1
50,TSP,2
51,TSP,3
52,TSP,4
53,TSP,5
54,TSP,6
55,TSP,7
56,TSP,8
57,TSP,9
58,VRP,0
59,VRP,1
60,VRP,2
61,VRP,3
62,VRP,4
63,VRP,5
64,VRP,6
65,VRP,7
66,VRP,8
67,VRP,9
