id,size,max_evals
0,1000,13337
1,1500,19936
2,2000,27286
3,2500,33049
4,3000,40969
5,3500,49065
6,4000,56358
7,4500,63531
8,5000,70746
9,5500,75966
10,6000,84889
11,6500,90841
12,7000,99119
13,7500,105567
14,8000,112936
15,8500,117809
16,9000,124734
17,9500,133313
18,10000,141207
19,10500,152858
20,11000,156498
21,11500,161263
22,12000,170394
23,12500,175831
24,13000,190275
25,13500,193809
26,14000,198639
27,14500,208517
28,15000,214207
29,15500,225354
30,16000,231738
31,16500,238660
32,17000,250832
33,17500,252316
34,18000,265683
35,18500,268456
36,19000,272869
37,19500,280236
38,20000,291179
